graph_id;vertices;edges;density;variant;algorithm;total_operations_count;path_length;total_execution_time_ms
1;6;10;sparse;pure_dag;DAG-ShortestPath;52;0,00;0,176
1;6;10;sparse;pure_dag;DAG-LongestPath;106;32,33;0,347
2;8;14;sparse;one_cycle;DAG-ShortestPath;98;6,79;0,138
2;8;14;sparse;one_cycle;DAG-LongestPath;128;20,96;0,141
3;10;18;sparse;two_cycles;DAG-ShortestPath;107;20,31;0,115
3;10;18;sparse;two_cycles;DAG-LongestPath;215;43,93;0,131
4;12;21;sparse;mixed;DAG-ShortestPath;97;5,18;0,121
4;12;21;sparse;mixed;DAG-LongestPath;148;25,78;0,199
5;16;28;sparse;mixed;DAG-ShortestPath;126;0,00;0,117
5;16;28;sparse;mixed;DAG-LongestPath;205;35,04;0,161
6;20;36;sparse;mixed;DAG-ShortestPath;170;0,00;0,108
6;20;36;sparse;mixed;DAG-LongestPath;370;47,45;0,492
7;25;45;sparse;many_sccs;DAG-ShortestPath;234;53,27;0,206
7;25;45;sparse;many_sccs;DAG-LongestPath;417;63,20;0,431
8;35;63;sparse;pure_dag;DAG-ShortestPath;320;0,00;0,218
8;35;63;sparse;pure_dag;DAG-LongestPath;778;35,77;0,637
9;50;90;sparse;many_sccs;DAG-ShortestPath;435;18,27;0,238
9;50;90;sparse;many_sccs;DAG-LongestPath;860;47,15;0,587
1;6;10;dense;pure_dag;DAG-ShortestPath;48;0,00;0,078
1;6;10;dense;pure_dag;DAG-LongestPath;69;17,96;0,126
2;8;18;dense;one_cycle;DAG-ShortestPath;62;0,00;0,118
2;8;18;dense;one_cycle;DAG-LongestPath;62;0,00;0,090
3;10;30;dense;two_cycles;DAG-ShortestPath;94;0,00;0,264
3;10;30;dense;two_cycles;DAG-LongestPath;97;4,15;0,132
4;12;39;dense;mixed;DAG-ShortestPath;116;0,00;0,107
4;12;39;dense;mixed;DAG-LongestPath;116;0,00;0,126
5;16;53;dense;mixed;DAG-ShortestPath;167;11,99;0,119
5;16;53;dense;mixed;DAG-LongestPath;167;11,99;0,129
6;20;67;dense;mixed;DAG-ShortestPath;196;0,00;0,180
6;20;67;dense;mixed;DAG-LongestPath;196;0,00;0,185
7;25;71;dense;many_sccs;DAG-ShortestPath;235;5,92;0,133
7;25;71;dense;many_sccs;DAG-LongestPath;270;33,14;0,178
8;35;140;dense;pure_dag;DAG-ShortestPath;456;0,00;0,180
8;35;140;dense;pure_dag;DAG-LongestPath;2235;60,98;0,541
9;50;200;dense;many_sccs;DAG-ShortestPath;571;4,36;0,115
9;50;200;dense;many_sccs;DAG-LongestPath;579;19,63;0,114
